RANK,SCHOOL,FT_PASSED,FT_FAILED,FT_COND,FT_TOTAL,FT_WA Passing Rate,R_PASSED,R_FAILED,R_COND,R_TOTAL,R_WA Passing Rate,OP_PASSED,OP_FAILED,OP_COND,OP_TOTAL,OP_WA Passing Rate
54,SAN BEDA UNIVERSITY,58,4,0,62,93.55%,4,0,0,4,100.00%,62,4,0,66,93.94%
55,SAN PEDRO COLLEGE-DAVAO CITY,557,27,1,585,95.21%,14,10,0,24,58.33%,571,37,1,609,93.76%
56,UNIVERSITY OF EASTERN PHILIP PINES-CATARMAN,98,5,0,103,95.15%,7,2,0,9,77.78%,105,7,0,112,93.75%
57,MARINDUQUE STATE COLLEGE- BOAC,86,4,0,90,95.55%,3,2,0,5,60.00%,89,6,0,95,93.69%
58,PAMANTASAN NG CABUYAO,140,5,0,145,96.56%,11,5,1,17,64.70%,151,10,1,162,93.21%
59,UNIVERSITY OF THE CORDILLERAS (for.BAGUIO C.F.),210,6,0,216,97.22%,24,11,1,36,66.67%,234,17,1,252,92.86%
60,"METROPOLITAN MEDICAL CENTER COLL. OF ARTS, SCIENCE  & TECH.",35,2,0,37,94.59%,43,4,0,47,91.49%,78,6,0,84,92.85%
61,UNIVERSITY OF MAKATI,118,7,0,125,94.40%,7,3,0,10,70.00%,125,10,0,135,92.60%
62,BATANGAS STATE UNIVERSITY- BATANGAS CITY,117,3,1,121,96.70%,5,6,0,11,45.45%,122,9,1,132,92.42%
63,MEDICAL COLLEGE OF NORTHERN PHILIPPINES,217,7,0,224,96.87%,26,13,0,39,66.67%,243,20,0,263,92.40%
64,DON MARIANO MARCOS MEM. STATE UNIV-.AGOO,243,16,1,260,93.46%,8,4,0,12,66.67%,251,20,1,272,92.28%
65,FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),96,0,0,96,100.00%,10,9,0,19,52.63%,106,9,0,115,92.17%
66,MINDANAO STATE UNIVERSITY- MARAWI CITY,257,16,1,274,93.80%,12,6,0,18,66.67%,269,22,1,292,92.12%
67,SAMAR STATE UNIVERSITY (SAMAR  SP.C.),67,2,0,69,97.10%,2,4,0,6,33.33%,69,6,0,75,92.00%
68,NOTRE DAME UNIVERSITY,246,17,2,265,92.83%,18,4,0,22,81.82%,264,21,2,287,91.99%
69,PANGASINAN STATE UNIVE RSITY- BAYAMBANG,156,10,0,166,93.98%,4,4,0,8,50.00%,160,14,0,174,91.95%
70,"MANILA TYTANA COLLEGES, INC (for. MANILA DOCTORS COLL)",62,1,0,63,98.41%,18,6,0,24,75.00%,80,7,0,87,91.95%
71,HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),152,3,0,155,98.07%,15,12,0,27,55.56%,167,15,0,182,91.76%
72,SAINT ANTHONY'S COLLEGE- ANTIQUE,83,4,0,87,95.40%,6,4,0,10,60.00%,89,8,0,97,91.75%
73,"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",95,7,0,102,93.14%,5,2,0,7,71.43%,100,9,0,109,91.74%
74,LICEO DE CAGAYAN UNIVERSITY,108,5,1,114,94.74%,56,10,0,66,84.85%,164,15,1,180,91.12%
75,ATENEO DE ZAMBOANGA UNIVERSITY,236,18,1,255,92.55%,12,6,0,18,66.67%,248,24,1,273,90.84%
76,CAGAYAN DE ORO COLLEGE,55,0,0,55,100.00%,11,7,0,18,61.11%,66,7,0,73,90.41%
77,COLEGIO SAN AGUSTIN- BACOLOD CITY,144,7,0,151,95.36%,21,11,0,32,65.63%,165,18,0,183,90.17%
78,UNIVERSITY OF THE ASSUMPTION,51,0,0,51,100.00%,10,7,0,17,58.83%,61,7,0,68,89.71%
79,PILAR COLLEGE,89,5,0,94,94.68%,6,6,0,12,50.00%,95,11,0,106,89.63%
80,RIVERSIDE COLLEGE,173,3,0,176,98.29%,76,26,1,103,73.79%,249,29,1,279,89.24%
81,"OUR LADY OF THE PILLAR COLLEGE - CAUAYAN, INC",47,2,1,50,94.00%,11,4,0,15,73.33%,58,6,1,65,89.23%
82,ST. SCHOLASTICA'S COLLEGE-TACLOBAN,52,3,0,55,94.55%,6,4,0,10,60.00%,58,7,0,65,89.23%
83,GENERAL SANTOS DOCTORS' MEDICAL SCHOOL FOUNDATION,82,4,1,87,94.26%,9,6,0,15,60.00%,91,10,1,102,89.21%
84,"ST. JUDE COLLEGE-DASMARINAS, CAVITE, INC.",48,2,0,50,96.00%,6,5,0,11,54.55%,54,7,0,61,88.53%
85,UNIVERSITY OF CEBU-BANILAD,249,15,1,265,93.96%,75,25,1,101,74.26%,324,40,2,366,88.52%
86,HOLY ANGEL UNIVERSITY,47,2,1,50,94.00%,7,4,0,11,63.63%,54,6,1,61,88.52%
87,NOTRE DAME OF MIDSAYAP COLLEGE,58,4,0,62,93.55%,3,4,0,7,42.86%,61,8,0,69,88.41%
88,"LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS, INC",143,5,0,148,96.62%,66,23,0,89,74.16%,209,28,0,237,88.19%
89,SULTAN KUDARAT STATE UNIVERSITY-TACURONG,140,16,0,158,88.61%,3,2,0,5,60.00%,143,18,0,163,87.73%
90,HOLY TRINITY COLLEGE OF PUERTO PRINCESA,53,4,1,58,91.33%,18,4,1,23,78.26%,71,8,2,81,87.65%
91,SOUTHWESTERN UNIVERSITY,360,25,0,385,93.51%,76,37,0,113,67.26%,436,62,0,498,87.55%
92,MINDANAO STATE UNIVERSITY- SDTC-JOLO,76,7,0,83,91.57%,1,4,0,5,20.00%,77,11,0,88,87.50%
93,ILOILO DOCTORS' COLLEGE,363,47,0,410,88.53%,38,11,0,49,77.55%,401,58,0,459,87.37%
94,UNIVERSITY OF BAGUIO,123,1,0,124,99.19%,47,24,0,71,66.19%,170,25,0,195,87.18%
95,HOLY INFANT COLLEGE,69,3,0,72,95.83%,17,10,0,27,62.96%,86,13,0,99,86.87%
96,MANUEL S. ENVERGA UNIV. FOUNDATION-CANDELARIA,41,4,0,45,91.11%,11,4,0,15,73.33%,52,8,0,60,86.67%
97,MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-BONTOC,95,10,0,105,90.48%,14,7,0,21,66.67%,109,17,0,126,86.51%
98,MATER DEI COLLEGE-BOHOL,39,0,0,39,100.00%,5,7,0,12,41.67%,44,7,0,51,86.27%
99,OUR LADY OF GUADALUPE COLLEGES,37,1,0,38,97.37%,7,6,0,13,53.85%,44,7,0,51,86.27%
100,OUR LADY OF FATIMA UNIVERSITY-ANTIPOLO CITY,323,29,0,352,91.76%,9,28,0,58,51.72%,353,57,0,410,86.10%
101,UNIVERSITY OF SOUTHERN MINDANAO-KABACAN,300,18,1,319,94.05%,19,33,0,52,36.54%,319,51,1,371,85.98%
